Match( 501 )--


--Alex is winner--

--Shots History--

--Dani -> 35--
--Alex -> 18--
--Tati -> 39--
--Dani -> 20--
--Alex -> 24--
--Tati -> 32--
--Dani -> 27--
--Alex -> 37--
--Tati -> 9--
--Dani -> 29--
--Alex -> 43--
--Tati -> 81--
--Dani -> 44--
--Alex -> 27--
--Tati -> 47--
--Dani -> 12--
--Alex -> 35--
--Tati -> 35--
--Dani -> 9--
--Alex -> 20--
--Tati -> 41--
--Dani -> 19--
--Alex -> 100--
--Tati -> 19--
--Dani -> 39--
--Alex -> 48--
--Tati -> 65--
--Dani -> 37--
--Alex -> 24--
--Tati -> 34--
--Dani -> 31--
--Alex -> 21--
--Tati -> 24--
--Dani -> 27--
--Alex -> 26--
--Tati -> 33--
--Dani -> 60--
--Alex -> 40--
--Tati -> 42--
--Dani -> 81--
--Alex -> 81--
--Tati -> 40--
--Dani -> 36--
--Alex -> 33--
--Tati -> 34--
--Dani -> 98--
--Alex -> 52--
--Tati -> 28--
--Dani -> 22--
--Alex -> 43--
--Tati -> 39--
--Dani -> 60--
--Alex -> 41--
--Tati -> 3--
--Dani -> 26--
--Alex -> 58--
--Tati -> 100--
--Dani -> 43--
--Alex -> 25--
--Tati -> 39--
--Dani -> 28--
--Alex -> 44--
--Tati -> 76--
--Dani -> 80--
--Alex -> 60--
--Tati -> 10--
--Dani -> 8--
--Alex -> 43--
--Tati -> 41--
--Dani -> 17--
--Alex -> 0--
--Tati -> 6--
--Dani -> 0--
--Alex -> 0--
--Tati -> 45--
--Dani -> 0--
--Alex -> 0--
--Tati -> 6--
--Dani -> 0--
--Alex -> 0--
--Tati -> 34--
--Dani -> 32--
--Alex -> 71--
--Tati -> 76--
--Dani -> 68--
--Alex -> 59--
--Tati -> 41--
--Dani -> 21--
--Alex -> 9--
--Tati -> 17--
--Dani -> 13--
--Alex -> 70--
--Tati -> 40--
--Dani -> 17--
--Alex -> 37--
--Tati -> 36--
--Dani -> 25--
--Alex -> 51--
--Tati -> 18--
--Dani -> 38--
--Alex -> 22--
--Tati -> 45--
--Dani -> 41--
--Alex -> 23--
--Tati -> 26--
--Dani -> 7--
--Alex -> 22--
--Tati -> 31--
--Dani -> 34--
--Alex -> 2--
--Tati -> 26--
--Dani -> 9--
--Alex -> 69--
--Tati -> 29--
--Dani -> 41--
--Alex -> 21--
--Tati -> 29--
--Dani -> 33--
--Alex -> 23--
--Tati -> 37--
--Dani -> 28--
--Alex -> 0--
--Tati -> 18--
--Dani -> 32--
--Alex -> 0--
--Tati -> 32--
--Dani -> 90--
--Alex -> 30--
--Tati -> 31--
--Dani -> 20--
--Alex -> 29--
--Tati -> 29--
--Dani -> 43--
--Alex -> 7--
--Tati -> 28--
--Dani -> 24--
--Alex -> 60--
--Tati -> 55--
--Dani -> 14--
--Alex -> 11--
--Tati -> 40--
--Dani -> 80--
--Alex -> 41--
--Tati -> 5--
--Dani -> 39--
--Alex -> 24--
--Tati -> 44--
--Dani -> 45--
--Alex -> 26--
--Tati -> 27--
--Dani -> 45--
--Alex -> 22--
--Tati -> 26--
--Dani -> 41--
--Alex -> 115--
--Tati -> 72--
--Dani -> 46--
--Alex -> 40--
